# The base year costs and WEO mappings are taken from the following file: ,,,,,
# https://github.com/iiasa/message_data/blob/dev/data/model/investment_cost/doc/NAM_technology_cost_input_20200507.xlsx,,,,,
# If base_year_reference_region_cost is blank then the 2021 WEO cost from the mapped technology is used in its place.,,,,,
# Data on the first year was directly copied from the NAM_SSP2 sheet in https://github.com/iiasa/message_data/blob/dev/data/model/investment_cost/SSP1_techinput.xlsx,,,,,
message_technology,reg_diff_source,reg_diff_technology,base_year_reference_region_cost,fix_ratio,first_year_original
bio_hpl,weo,bioenergy_medium_chp,275,,
bio_istig,weo,igcc,4064,,2010
bio_istig_ccs,weo,igcc_ccs,5883,,2030
bio_ppl,weo,bioenergy_large,2025,,2005
bio_ppl_co2scr,weo,igcc_ccs,1466,,2030
biomass_i,weo,bioenergy_medium_chp,250,,1985
c_ppl_co2scr,weo,pulverized_coal_ccs,1222,,2030
coal_adv,weo,steam_coal_supercritical,1701,,2010
coal_adv_ccs,weo,pulverized_coal_ccs,4536,,2030
coal_gas,weo,igcc,850,,
coal_hpl,weo,steam_coal_subcritical,275,,
coal_i,weo,steam_coal_subcritical,170,,1985
coal_ppl,weo,steam_coal_subcritical,1458,,2005
coal_ppl_u,weo,steam_coal_subcritical,1016,,2005
csp_sm1_ppl,weo,csp,4609,,2010
csp_sm3_ppl,weo,csp,9932,,2010
elec_i,weo,ccgt_chp,50,,1985
eth_bio,weo,igcc,2614,,2005
eth_bio_ccs,weo,igcc_ccs,3941,,2030
eth_i,weo,bioenergy_medium_chp,93,,2010
foil_hpl,weo,ccgt_chp,155,,
foil_i,weo,ccgt_chp,107,,1985
foil_ppl,weo,ccgt_chp,730,,
g_ppl_co2scr,weo,ccgt_ccs,751,,2030
gas_bio,weo,bioenergy_large,670,,
gas_cc,weo,ccgt,810,,2005
gas_cc_ccs,weo,ccgt_ccs,2511,,2030
gas_ct,weo,gas_turbine,405,,2005
gas_hpl,weo,gas_turbine,95,,
gas_i,weo,gas_turbine,97,,1985
gas_ppl,weo,gas_turbine,1205,,2005
geo_hpl,weo,geothermal,1500,,1986
geo_ppl,weo,geothermal,2928,,2005
h2_bio,weo,igcc,3744,,2020
h2_bio_ccs,weo,igcc,3824,,2030
h2_coal,weo,igcc,2163,,2010
h2_coal_ccs,weo,igcc,2252,,2030
h2_elec,weo,csp,1139,,2010
h2_fc_I,weo,fuel_cell,3500,,
h2_fc_RC,weo,fuel_cell,3500,,
h2_fc_trp,weo,fuel_cell,3500,,
h2_i,weo,ccgt_chp,97,,2030
h2_liq,weo,igcc,820,,
h2_smr,weo,igcc,737,,2010
h2_smr_ccs,weo,igcc_ccs,1361,,2030
heat_i,weo,ccgt_chp,50,,1985
hp_el_i,weo,ccgt_chp,800,,2010
hp_gas_i,weo,ccgt_chp,880,,2010
hydro_hc,weo,hydropower_small,3280,,2005
hydro_lc,weo,hydropower_large,2187,,2005
igcc,weo,igcc,2106,,2010
igcc_ccs,weo,igcc_ccs,4819,,2030
liq_bio,weo,igcc,4264,,2020
liq_bio_ccs,weo,igcc,4344,,2030
loil_cc,weo,igcc,800,,
loil_i,weo,ccgt_chp,93,,1985
loil_ppl,weo,igcc,600,,
meth_coal,weo,igcc,2348,,2020
meth_coal_ccs,weo,igcc,2385,,2030
meth_i,weo,gas_turbine,93,,2010
meth_ng,weo,igcc,1234,,2020
meth_ng_ccs,weo,igcc,1339,,2030
nuc_hc,weo,nuclear,5000,,2005
nuc_lc,weo,nuclear,3800,,2005
solar_i,weo,solarpv_buildings,737,,2010
solar_pv_I,weo,solarpv_buildings,1189,,2005
solar_pv_RC,weo,solarpv_buildings,,,2005
solar_res1,weo,solarpv_large,,,2020
solar_res2,weo,solarpv_large,,,2020
solar_res3,weo,solarpv_large,,,2020
solar_res4,weo,solarpv_large,,,2020
solar_res5,weo,solarpv_large,,,2020
solar_res6,weo,solarpv_large,,,2020
solar_res7,weo,solarpv_large,,,2020
solar_res8,weo,solarpv_large,,,2020
solar_res_hist_2005,weo,solarpv_large,,,2020
solar_res_hist_2010,weo,solarpv_large,,,2020
solar_res_hist_2015,weo,solarpv_large,,,2020
solar_res_hist_2020,weo,solarpv_large,,,2020
solar_th_ppl,weo,csp,969,,2005
stor_ppl,weo,csp,800,,2005
syn_liq,weo,igcc,3224,,2020
syn_liq_ccs,weo,igcc,3268,,2030
wind_ref1,weo,wind_offshore,1771,,2020
wind_ref2,weo,wind_offshore,1771,,2020
wind_ref3,weo,wind_offshore,1771,,2020
wind_ref4,weo,wind_offshore,1771,,2020
wind_ref5,weo,wind_offshore,1771,,2020
wind_ref_hist_2005,weo,wind_offshore,1771,,2020
wind_ref_hist_2010,weo,wind_offshore,1771,,2020
wind_ref_hist_2015,weo,wind_offshore,1771,,2020
wind_ref_hist_2020,weo,wind_offshore,1771,,2020
wind_res1,weo,wind_onshore,1181,,2020
wind_res2,weo,wind_onshore,1181,,2020
wind_res3,weo,wind_onshore,1181,,2020
wind_res4,weo,wind_onshore,1181,,2020
wind_res_hist_2005,weo,wind_onshore,1181,,2020
wind_res_hist_2010,weo,wind_onshore,1181,,2020
wind_res_hist_2015,weo,wind_onshore,1181,,2020
wind_res_hist_2020,weo,wind_onshore,1181,,2020